experiment_group,scenario,cost_bps_one_way,period,data_variant,universe_lag_rebalances,universe_filter,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,group_normalization,residual_proxy,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio
parameter_stability,grid_h12_cap7_sector30_hold15,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.3,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.442386481981668,0.19821059825956877,-0.3396854513528874,0.24084833059395402,0.8737126185830824,1.0477825947756896,0.5835121800776056,3.0570891434262952,10.428784860557768,10.322082931533268,0.643818215783136,0.08147910310863497,0.728253744802339,0.37156650068183905,-0.07509680219166781,0.3345565571231319,0.643818215783136,0.08565130452545137,0.20395809716431185,0.08147910310863497,0.728253744802339,0.37156650068183905,0.07235713038670487,0.0664783117810241,0.09978501640281741,0.9241849886277483
parameter_stability,grid_h12_cap7_sector30_hold15,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.3,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.07509680219166781,-0.07594645496874775,-0.1386583151165599,0.16175607577383272,-0.4033323389378939,-0.5589248860033426,-0.5477237690715131,3.490616343490305,12.141274238227146,12.0,0.329114126266216,1.1251851211137358,0.45309671603972024,0.3030998538008564,-0.07509680219166781,0.3345565571231319,0.329114126266216,0.047954144397812044,0.24769151879989304,1.1251851211137358,0.45309671603972024,0.3030998538008564,0.07235713038670487,0.0664783117810241,0.09978501640281741,0.9241849886277483
parameter_stability,grid_h12_cap7_sector30_hold15,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.3,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.5505711395789419,0.3345565571231319,-0.30780616029397057,0.2596076598590355,1.2461782738505338,1.6858349795513081,1.0869066324196155,3.421329113924051,12.329113924050633,12.0,0.9247886345902088,0.296043201549909,1.1084991607743262,0.8554627035590812,-0.07509680219166781,0.3345565571231319,0.9247886345902088,0.07475875520780051,0.1841882130912277,0.296043201549909,1.1084991607743262,0.8554627035590812,0.07235713038670487,0.0664783117810241,0.09978501640281741,0.9241849886277483
parameter_stability,grid_h12_cap7_sector35_hold05,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.5165331824986437,0.20061817680741867,-0.3498496406018272,0.24351158583184118,0.8751113757208232,1.0475535514809422,0.5734411402061359,3.245049800796813,10.428784860557768,10.322082931533268,0.6538376995897875,0.0943915333750325,0.732564126298288,0.366600108636073,-0.08026638638148031,0.35883828803539486,0.6538376995897875,0.08637692254173848,0.2043176481594016,0.0943915333750325,0.732564126298288,0.366600108636073,0.06764903881612258,0.06422725746955626,0.11610409052969124,0.9150871872630781
parameter_stability,grid_h12_cap7_sector35_hold05,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.08026638638148031,-0.08117192277299357,-0.1386583151165599,0.16311331150523167,-0.43310466977535966,-0.6026877867179434,-0.5854097008517539,3.5412049861495842,12.141274238227146,12.0,0.3315509052449478,1.1039162464745789,0.4531937991076798,0.311538562033946,-0.08026638638148031,0.35883828803539486,0.3315509052449478,0.04338857027655034,0.24756871901860597,1.1039162464745789,0.4531937991076798,0.311538562033946,0.06764903881612258,0.06422725746955626,0.11610409052969124,0.9150871872630781
parameter_stability,grid_h12_cap7_sector35_hold05,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.7042279443194897,0.35883828803539486,-0.3001195051747906,0.2623711670607281,1.3047929952896864,1.7686507635226814,1.1956513383773784,3.6093481012658244,12.329113924050633,12.0,0.9335267625940928,0.39388269316625274,1.1474888337962699,0.8157159593956429,-0.08026638638148031,0.35883828803539486,0.9335267625940928,0.09123092378339688,0.186223728712123,0.39388269316625274,1.1474888337962699,0.8157159593956429,0.06764903881612258,0.06422725746955626,0.11610409052969124,0.9150871872630781
parameter_stability,grid_h12_cap7_sector35_hold10,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.35,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.2286796647010894,0.1910683547200569,-0.32804616217874405,0.24220304422707564,0.8453549026229347,1.0225659152105948,0.5824434995704921,3.186842629482072,10.428784860557768,10.322082931533268,0.650582941781389,0.05368305125787477,0.7127042005464702,0.37372049524776546,-0.08136221949468958,0.3275269338239468,0.650582941781389,0.07865551184147061,0.20367001940931048,0.05368305125787477,0.7127042005464702,0.37372049524776546,0.06474559499304672,0.059176901809659066,0.09100011185863646,0.9143290371493555
parameter_stability,grid_h12_cap7_sector35_hold10,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.35,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.08136221949468958,-0.08227955757755478,-0.1386583151165599,0.16310917123976357,-0.440456057239655,-0.6126782038850559,-0.5933979329576331,3.490616343490305,12.141274238227146,12.0,0.3316405078864519,1.0992576470030608,0.4531937991076798,0.3134822228922611,-0.08136221949468958,0.3275269338239468,0.3316405078864519,0.0422221026846238,0.24752872653368624,1.0992576470030608,0.4531937991076798,0.3134822228922611,0.06474559499304672,0.059176901809659066,0.09100011185863646,0.9143290371493555
parameter_stability,grid_h12_cap7_sector35_hold10,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.35,0.1,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.507240851891313,0.3275269338239468,-0.3001195051747907,0.2618323436560712,1.2175154566184647,1.65205242589941,1.0913217174378385,3.513797468354431,12.329113924050633,12.0,0.9325017971840377,0.2681753055046883,1.085547644815395,0.8305221071856589,-0.08136221949468958,0.3275269338239468,0.9325017971840377,0.06795149347722132,0.1856814079132592,0.2681753055046883,1.085547644815395,0.8305221071856589,0.06474559499304672,0.059176901809659066,0.09100011185863646,0.9143290371493555
parameter_stability,grid_h12_cap7_sector35_hold15,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.07,0.35,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,3.354292625978628,0.1953038161390368,-0.3280461621787438,0.24228018574496685,0.8598743282913953,1.0372099771141663,0.5953546746040602,3.0486005976095623,10.428784860557768,10.322082931533268,0.6507122139935826,0.0712557111356042,0.7218074475372567,0.37267189103337023,-0.08129350883108832,0.32337560685244715,0.6507122139935826,0.08221343819771489,0.20372555362230943,0.0712557111356042,0.7218074475372567,0.37267189103337023,0.06978576533864081,0.06469280721920322,0.0886986368020607,0.9287338893100834
parameter_stability,grid_h12_cap7_sector35_hold15,5.0,2022,alias_on,0,leadership_liquid,12,0.07,0.35,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2022-01-03,2022-12-30,-0.08129350883108832,-0.08221010738404888,-0.13620301462143447,0.16341384066329587,-0.4388673632998862,-0.6038031773177496,-0.603585079321081,3.4197922437673127,12.141274238227146,12.0,0.33194371300859804,1.0994319750560282,0.4530002763306187,0.3149348247144494,-0.08129350883108832,0.32337560685244715,0.33194371300859804,0.042451808220866874,0.2476035559785286,1.0994319750560282,0.4530002763306187,0.3149348247144494,0.06978576533864081,0.06469280721920322,0.0886986368020607,0.9287338893100834
parameter_stability,grid_h12_cap7_sector35_hold15,5.0,2023+,alias_on,0,leadership_liquid,12,0.07,0.35,0.15,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2023-01-03,2026-04-02,1.4818928885939022,0.32337560685244715,-0.3078061602939709,0.26222790823123926,1.2041407300722486,1.6208556961625744,1.0505819849206612,3.421329113924051,12.329113924050633,12.0,0.935102226052742,0.2518718469271479,1.0810922850487825,0.8412679992447133,-0.08129350883108832,0.32337560685244715,0.935102226052742,0.06422638416632076,0.18568787374710177,0.2518718469271479,1.0810922850487825,0.8412679992447133,0.06978576533864081,0.06469280721920322,0.0886986368020607,0.9287338893100834
parameter_stability,grid_h12_cap8_sector25_hold05,5.0,Full Sample,alias_on,0,leadership_liquid,12,0.08,0.25,0.05,qqq_breadth,QQQ,broad,0.6,0.0,sector,simple_excess_return_vs_QQQ,2018-01-02,2026-04-02,4.34220985026497,0.22531298747301887,-0.36857871561831357,0.2721044547521774,0.8855560059926452,1.0610033762564457,0.6113022210060134,3.7264716135458165,10.428784860557768,10.322082931533268,0.7198745536246457,0.21310098416832512,0.8222127309583797,0.4079304142763902,-0.09231362836283519,0.40836235828365175,0.7198745536246457,0.101442037416082,0.22125581245549875,0.21310098416832512,0.8222127309583797,0.4079304142763902,0.08090157643837709,0.07221038801657848,0.1390218449251132,0.9128127369219106
