stage,scenario,selection_objective,universe_filter,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,group_normalization,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,selected_from_in_sample,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,period
in_sample_ranking,grid_h20_cap7_sector35_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.07,0.35,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.1057317535839597,0.2049293742713063,-0.3471728260466461,0.2614909798049276,0.8441001316435082,0.8858031452032391,0.5902805717973215,3.0216363947909533,8.511651816312543,14.246031746031743,0.7183863449050263,-0.2245277729099669,0.5752493444017891,0.1884413617633494,-0.1195361636540357,0.3188551324092687,0.7183863449050263,0.0289607506012156,0.205820078766203,-0.2245277729099669,0.5752493444017891,0.1884413617633494,,,,,,
in_sample_ranking,grid_h20_cap8_sector35_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.08,0.35,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.1057317535839597,0.2049293742713063,-0.3471728260466461,0.2614909798049276,0.8441001316435082,0.8858031452032391,0.5902805717973215,3.0216363947909533,8.511651816312543,14.246031746031743,0.7183863449050263,-0.2245277729099669,0.5752493444017891,0.1884413617633494,-0.1195361636540357,0.3188551324092687,0.7183863449050263,0.0289607506012156,0.205820078766203,-0.2245277729099669,0.5752493444017891,0.1884413617633494,,,,,,
in_sample_ranking,grid_h20_cap9_sector35_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.09,0.35,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.1057317535839597,0.2049293742713063,-0.3471728260466461,0.2614909798049276,0.8441001316435082,0.8858031452032391,0.5902805717973215,3.0216363947909533,8.511651816312543,14.246031746031743,0.7183863449050263,-0.2245277729099669,0.5752493444017891,0.1884413617633494,-0.1195361636540357,0.3188551324092687,0.7183863449050263,0.0289607506012156,0.205820078766203,-0.2245277729099669,0.5752493444017891,0.1884413617633494,,,,,,
in_sample_ranking,grid_h20_cap7_sector25_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.07,0.25,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0992901644725577,0.2040055591300291,-0.3457463651044059,0.2605731634589709,0.8431912094466384,0.882744676766084,0.5900439736175537,3.021636394790953,8.511651816312543,14.246031746031743,0.7149762817681223,-0.2296403557891525,0.5736838575503458,0.1896364496346196,-0.1195361636540357,0.3160289358752834,0.7149762817681223,0.0288594526340058,0.2056428338732931,-0.2296403557891525,0.5736838575503458,0.1896364496346196,,,,,,
in_sample_ranking,grid_h20_cap7_sector30_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.07,0.3,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0992901644725577,0.2040055591300291,-0.3457463651044059,0.2605731634589709,0.8431912094466384,0.882744676766084,0.5900439736175537,3.021636394790953,8.511651816312543,14.246031746031743,0.7149762817681223,-0.2296403557891525,0.5736838575503458,0.1896364496346196,-0.1195361636540357,0.3160289358752834,0.7149762817681223,0.0288594526340058,0.2056428338732931,-0.2296403557891525,0.5736838575503458,0.1896364496346196,,,,,,
in_sample_ranking,grid_h20_cap8_sector25_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.08,0.25,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0992901644725577,0.2040055591300291,-0.3457463651044059,0.2605731634589709,0.8431912094466384,0.882744676766084,0.5900439736175537,3.021636394790953,8.511651816312543,14.246031746031743,0.7149762817681223,-0.2296403557891525,0.5736838575503458,0.1896364496346196,-0.1195361636540357,0.3160289358752834,0.7149762817681223,0.0288594526340058,0.2056428338732931,-0.2296403557891525,0.5736838575503458,0.1896364496346196,,,,,,
in_sample_ranking,grid_h20_cap8_sector30_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.08,0.3,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0992901644725577,0.2040055591300291,-0.3457463651044059,0.2605731634589709,0.8431912094466384,0.882744676766084,0.5900439736175537,3.021636394790953,8.511651816312543,14.246031746031743,0.7149762817681223,-0.2296403557891525,0.5736838575503458,0.1896364496346196,-0.1195361636540357,0.3160289358752834,0.7149762817681223,0.0288594526340058,0.2056428338732931,-0.2296403557891525,0.5736838575503458,0.1896364496346196,,,,,,
in_sample_ranking,grid_h20_cap9_sector25_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.09,0.25,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0992901644725577,0.2040055591300291,-0.3457463651044059,0.2605731634589709,0.8431912094466384,0.882744676766084,0.5900439736175537,3.021636394790953,8.511651816312543,14.246031746031743,0.7149762817681223,-0.2296403557891525,0.5736838575503458,0.1896364496346196,-0.1195361636540357,0.3160289358752834,0.7149762817681223,0.0288594526340058,0.2056428338732931,-0.2296403557891525,0.5736838575503458,0.1896364496346196,,,,,,
in_sample_ranking,grid_h20_cap9_sector30_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.09,0.3,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0992901644725577,0.2040055591300291,-0.3457463651044059,0.2605731634589709,0.8431912094466384,0.882744676766084,0.5900439736175537,3.021636394790953,8.511651816312543,14.246031746031743,0.7149762817681223,-0.2296403557891525,0.5736838575503458,0.1896364496346196,-0.1195361636540357,0.3160289358752834,0.7149762817681223,0.0288594526340058,0.2056428338732931,-0.2296403557891525,0.5736838575503458,0.1896364496346196,,,,,,
in_sample_ranking,grid_h12_cap8_sector35_hold15,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,12.0,0.08,0.35,0.15,qqq_breadth,sector,2018-01-02,2021-12-31,1.0213668263278852,0.1926582817327971,-0.3675844864877201,0.2755090962824232,0.7777840376078213,0.8280308539241014,0.5241197297896119,3.0767117888965045,8.511651816312543,8.547619047619047,0.7228991230084875,-0.237000043496695,0.5636978621129088,0.1979561289413493,-0.0928076305288293,0.3504605111676633,0.7228991230084875,0.0213181304565364,0.2221531958451642,-0.237000043496695,0.5636978621129088,0.1979561289413493,,,,,,
