experiment_group,cost_bps_one_way,period,scenario,universe_filter,leadership_only,group_normalization,group_normalization_label,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_positive_ratio,strategy,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json,spy_sanity_full_cagr,spy_sanity_full_ir_vs_qqq,spy_sanity_full_maxdd,spy_sanity_oos_cagr,spy_sanity_oos_cagr_minus_qqq,spy_sanity_oos_maxdd,spy_sanity_pass
v1_1_local_grid,5.0,Full Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector30_hold15,leadership_liquid,True,sector,sector,12,0.08,0.3,0.15,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,3.9670425431558147,0.21454124514964645,-0.3801341994111349,0.27251016536111555,0.8521758718293271,1.0156837695537988,0.5643829086727578,3.4912176294820716,10.428784860557768,10.322082931533268,0.7185931755755478,0.17296479554627128,0.8092160143093813,0.4271383686403106,-0.08724818622915353,0.36366173320859696,0.7185931755755478,0.09295325638451321,0.22208396694844615,0.17296479554627128,0.8092160143093813,0.4271383686403106,0.9203942380591357,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2022,v11_leadership_liquid_norm_sector_h12_cap8_sector30_hold15,leadership_liquid,True,sector,sector,12,0.08,0.3,0.15,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.08724818622915353,-0.0882286472391981,-0.15711833341206416,0.16705652923066855,-0.4647415112697141,-0.6311864906000517,-0.5615426622926715,3.6929709141274234,12.141274238227146,12.0,0.33662516382160546,1.0734203209002682,0.45309680684830134,0.3225021065106274,-0.08724818622915353,0.36366173320859696,0.33662516382160546,0.038140802587998485,0.24808738233493055,1.0734203209002682,0.45309680684830134,0.3225021065106274,0.9203942380591357,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2023+,v11_leadership_liquid_norm_sector_h12_cap8_sector30_hold15,leadership_liquid,True,sector,sector,12,0.08,0.3,0.15,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,1.7354952205309293,0.36366173320859696,-0.33840415007815017,0.2943235571601229,1.2057439725791195,1.628683882367375,1.0746373326822791,3.9607278481012664,12.329113924050633,12.0,1.033935488576112,0.40690040552269546,1.235628172020987,1.0108410402069807,-0.08724818622915353,0.36366173320859696,1.033935488576112,0.07676083261190499,0.21108145672887602,0.40690040552269546,1.235628172020987,1.0108410402069807,0.9203942380591357,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,OOS Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector30_hold15,leadership_liquid,True,sector,sector,12,0.08,0.3,0.15,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,1.4968282241010842,0.24063124921722578,-0.33840415007814983,0.2700632525609358,0.9369603437656987,1.2538392029062286,0.7110765313062953,3.888145161290323,12.253548387096775,12.0,0.7229050075491654,0.5824165411899479,1.0937653783089427,0.5736267130219853,-0.08724818622915353,0.36366173320859696,0.7229050075491654,0.16291437712385864,0.22040770388262532,0.5824165411899479,1.0937653783089427,0.5736267130219853,1.0,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,Full Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector35_hold05,leadership_liquid,True,sector,sector,12,0.08,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,4.071723056195159,0.2176168327018122,-0.3918340849053571,0.2755502841826421,0.8550550746010106,1.0172328318116817,0.555380047538169,3.703431274900398,10.428784860557768,10.322082931533268,0.7299200595658625,0.18749344466805187,0.8150807856667949,0.4213625188074905,-0.0923498523893247,0.39230438531849865,0.7299200595658625,0.09414203010133024,0.22292400174575727,0.18749344466805187,0.8150807856667949,0.4213625188074905,0.9075056861258529,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2022,v11_leadership_liquid_norm_sector_h12_cap8_sector35_hold05,leadership_liquid,True,sector,sector,12,0.08,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.0923498523893247,-0.09338465997710121,-0.15711833341206416,0.16836946472577605,-0.49321166717223985,-0.672660818112512,-0.5943587737287619,3.7435595567867037,12.141274238227146,12.0,0.33906194714625537,1.0521634845161192,0.453193889935718,0.33094081736523,-0.0923498523893247,0.39230438531849865,0.33906194714625537,0.03357522965312344,0.24796370607851875,1.0521634845161192,0.453193889935718,0.33094081736523,0.9075056861258529,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2023+,v11_leadership_liquid_norm_sector_h12_cap8_sector35_hold05,leadership_liquid,True,sector,sector,12,0.08,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,2023-01-03,2026-04-02,1.9263379545946044,0.39230438531849865,-0.32992913722670747,0.29751800997764904,1.266111330694877,1.7136331825480222,1.1890565004840135,4.173405063291139,12.329113924050633,12.0,1.0440342566609842,0.5040793104609917,1.2814994092908742,0.9664978224445591,-0.0923498523893247,0.39230438531849865,1.0440342566609842,0.09585643624965003,0.21365923296362777,0.5040793104609917,1.2814994092908742,0.9664978224445591,0.9075056861258529,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,OOS Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector35_hold05,leadership_liquid,True,sector,sector,12,0.08,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2026-04-02,1.6560910764465158,0.2588407741959027,-0.3299291372267068,0.27294807129710574,0.9834926258813114,1.319191094060927,0.784534449947788,4.062522580645161,12.253548387096775,12.0,0.7297724398243931,0.6468931765230839,1.1313383547280356,0.5628091528653248,-0.0923498523893247,0.39230438531849865,0.7297724398243931,0.17746207542461226,0.22225145538083946,0.6468931765230839,1.1313383547280356,0.5628091528653248,1.0,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,Full Sample,v11_leadership_liquid_norm_sector_h12_cap8_sector35_hold10,leadership_liquid,True,sector,sector,12,0.08,0.35,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2018-01-02,2026-04-02,3.697829694699638,0.2063618153582869,-0.36758448648772013,0.2740424305524861,0.8241186691168968,0.9907381702381941,0.5613996861784885,3.640373505976095,10.428784860557768,10.322082931533268,0.7262411459696186,0.14427434156791774,0.791406684879548,0.4294923993281179,-0.09343128844019188,0.35533203190232054,0.7262411459696186,0.08508786896926573,0.22200484846279195,0.14427434156791774,0.791406684879548,0.4294923993281179,0.9112964366944655,,,,,,,,,,,,,,,,,
v1_1_local_grid,5.0,2022,v11_leadership_liquid_norm_sector_h12_cap8_sector35_hold10,leadership_liquid,True,sector,sector,12,0.08,0.35,0.1,qqq_breadth,QQQ,broad,0.6,0.0,2022-01-03,2022-12-30,-0.09343128844019188,-0.09447757249234512,-0.15711833341206416,0.16836510389067874,-0.5003356871472027,-0.6822547847009102,-0.6013147571045376,3.6929709141274234,12.141274238227146,12.0,0.33915154819206095,1.0475046903455334,0.453193889935718,0.33288447882734984,-0.09343128844019188,0.35533203190232054,0.33915154819206095,0.03240876150103391,0.24792354045401363,1.0475046903455334,0.453193889935718,0.33288447882734984,0.9112964366944655,,,,,,,,,,,,,,,,,
