comparison_layer,strategy,display_name,as_of,equity_cost_5bps
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-22,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-02-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-01,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-02,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-05,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-22,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-03-29,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-02,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-03,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-04,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-05,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-10,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-17,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-18,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-24,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-25,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-04-30,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-01,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-02,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-03,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-04,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-10,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-17,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-18,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-22,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-24,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-25,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-29,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-30,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-05-31,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-01,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-04,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-05,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-18,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-22,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-25,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-06-29,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-02,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-03,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-05,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-10,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-17,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-18,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-24,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-25,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-30,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-07-31,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-01,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-02,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-03,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-10,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-17,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-22,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-24,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-29,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-30,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-08-31,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-04,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-05,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-10,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-17,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-18,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-24,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-25,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-09-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-01,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-02,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-03,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-04,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-05,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-10,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-17,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-18,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-22,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-24,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-25,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-29,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-30,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-10-31,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-01,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-02,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-05,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-29,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-11-30,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-03,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-04,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-10,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-17,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-18,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-24,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2018-12-31,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-02,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-03,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-04,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-09,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-10,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-16,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-17,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-18,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-22,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-23,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-24,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-25,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-29,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-30,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-01-31,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-01,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-04,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-05,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-06,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-07,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-08,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-11,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-12,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-13,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-14,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-15,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-19,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-20,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-21,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-22,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-25,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-26,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-27,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-02-28,1.0
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-01,1.0090683535161058
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-04,0.9940487962193457
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-05,0.9957595118428804
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-06,0.9874150272185065
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-07,0.9847340682395218
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-08,0.9814460285978204
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-11,0.999160505234354
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-12,1.008125185164697
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-13,1.0122603450332643
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-14,1.0189411613434263
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-15,1.017256619733876
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-18,1.0217098710379666
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-19,1.0216076387937543
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-20,1.0209962173515996
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-21,1.0380892724682247
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-22,1.010003933999719
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-25,1.014668238075494
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-26,1.0214686482922049
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-27,1.0065074108162748
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-28,1.0199275017430922
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-03-29,1.0276870611239501
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-01,1.037279169572497
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-02,1.037227577235227
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-03,1.0423316811673347
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-04,1.0341503524899818
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-05,1.0389348487060233
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-08,1.041081692301314
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-09,1.0382602229079978
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-10,1.048070204526158
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-11,1.0500371826283605
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-12,1.0543881323152502
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-15,1.0537637324418794
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-16,1.0540262179411526
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-17,1.0390106483903057
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-18,1.0414519208920927
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-22,1.048868369723347
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-23,1.0657999102516957
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-24,1.0680159297875838
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-25,1.0672526282714283
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-26,1.0751926690001146
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-29,1.081478133469543
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-04-30,1.0862379615967734
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2019-05-01,1.0718803690576653
