comparison_layer,strategy,display_name,as_of,rolling_36m_capm_alpha_vs_qqq
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-24,0.07906617515128711
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-25,0.08130822635373022
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-26,0.08055348187158469
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-27,0.08670021648045421
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-30,0.08298056155231986
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-08-31,0.08360477229103946
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-01,0.08455457423022097
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-02,0.08657599043055766
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-03,0.08519383247569112
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-07,0.0802821460444123
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-08,0.07604677358405476
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-09,0.07866693365100011
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-10,0.07651433050432951
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-13,0.07597349720237889
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-14,0.07342856944989659
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-15,0.08152890811349225
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-16,0.08094441460501663
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-17,0.07637892618478759
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-20,0.07012350617827441
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-21,0.07009245653265732
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-22,0.07710484259057311
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-23,0.08175081020792542
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-24,0.07987961480056952
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-27,0.08224227762498264
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-28,0.0757307731177301
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-29,0.07440330238332821
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-09-30,0.07012859975758942
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-01,0.07195915222422822
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-04,0.07047420300714069
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-05,0.07512733816413096
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-06,0.06929370647735476
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-07,0.07130570082830269
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-08,0.06911008730178775
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-11,0.07098070716676444
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-12,0.06618417757833941
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-13,0.06765930972581324
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-14,0.07417511416571715
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-15,0.07252169747822579
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-18,0.08110759581431722
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-19,0.07893778654596363
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-20,0.0772342463475374
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-21,0.0771796658645857
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-22,0.08348552171392043
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-25,0.08682166205873307
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-26,0.07762127403463782
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-27,0.07750856606718552
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-28,0.07814073405131608
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-10-29,0.07614194541698803
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-01,0.08049443509433743
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-02,0.08480761240350042
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-03,0.08869091620761257
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-04,0.08315396785760644
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-05,0.08306397578313199
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-08,0.08717405403374907
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-09,0.09127465325241697
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-10,0.08398766266351869
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-11,0.08511620252232524
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-12,0.08135320764002082
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-15,0.08159915319289501
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-16,0.08056335853430048
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-17,0.08089592231849602
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-18,0.08104549957789638
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-19,0.07436425820533021
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-22,0.07260238839420197
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-23,0.07245864149956419
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-24,0.07262587238367145
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-26,0.07327057585874444
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-29,0.07417835955181692
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-11-30,0.06701954998307212
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-01,0.061052028534499814
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-02,0.06374910674109434
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-03,0.06341046059223165
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-06,0.05404791857612003
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-07,0.05734696726147018
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-08,0.05136453576294311
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-09,0.050039208864450915
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-10,0.04906791350755539
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-13,0.04923357721832159
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-14,0.04761201432597272
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-15,0.04367533823301598
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-16,0.039846699690965416
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-17,0.043067966456841286
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-20,0.036147662607697355
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-21,0.03578457447278235
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-22,0.030111187065638062
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-23,0.025782612822408207
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-27,0.03155050552704328
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-28,0.030427050621489943
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-29,0.03123650472698262
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-30,0.033108227604299906
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2021-12-31,0.03404281189612216
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-03,0.024735748319255284
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-04,0.030315393490002108
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-05,0.02237560015464174
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-06,0.02496215401737083
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-07,0.023667630862091858
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-10,0.022709269936786798
