comparison_layer,strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,research_group,universe_filter,holdings_count,single_name_cap,sector_cap,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,hold_bonus,group_normalization,residual_proxy
research_only,struct_h12_cap8_sector40,struct_h12_cap8_sector40,0.0,Full Sample,2018-01-02,2026-04-02,2.70629811822564,0.1721751696837408,-0.36743850211534557,0.2610795925364297,0.7412178174660203,0.8419982235849534,0.46858227619731563,3.926558764940239,9.579930278884461,8.852459016393443,0.6104382061301574,-0.0012601899583480252,0.6661841116381724,0.34852282888784947,-0.13179398393428932,0.3298392804061643,offensive_ablation,leadership_liquid,12,0.08,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap8_sector40,struct_h12_cap8_sector40,0.0,2022,2022-01-03,2022-12-30,-0.13179398393428932,-0.13323731547483086,-0.15711833341206405,0.11175640157882723,-1.2132090005404166,-1.015132963031595,-0.8480061656802202,3.6929709141274234,6.070637119113573,3.7768924302788847,0.13599394419735206,0.7046164584772884,0.0,0.21731133773225153,-0.13179398393428932,0.3298392804061643,offensive_ablation,leadership_liquid,12,0.08,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap8_sector40,struct_h12_cap8_sector40,0.0,2023+,2023-01-03,2026-04-02,1.5214373898815614,0.3298392804061643,-0.2600726629764134,0.2783803419256383,1.1674644728742047,1.5859018313109745,1.2682581730478846,4.4631392405063295,12.020886075949367,11.101840490797546,0.8442515675624086,0.24955846303491772,1.1030967782048866,0.8251460673204134,-0.13179398393428932,0.3298392804061643,offensive_ablation,leadership_liquid,12,0.08,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap8_sector40,struct_h12_cap8_sector40,5.0,Full Sample,2018-01-02,2026-04-02,2.6468345113440233,0.16987838514387565,-0.36758448648772,0.26107562227304415,0.733694279234139,0.8336737849564783,0.46214786365732774,3.926558764940239,9.579930278884461,8.852459016393443,0.6104442377773308,-0.009605873061802012,0.6626812404209723,0.3519900122032581,-0.1333747255596328,0.3268739889252008,offensive_ablation,leadership_liquid,12,0.08,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap8_sector40,struct_h12_cap8_sector40,5.0,2022,2022-01-03,2022-12-30,-0.1333747255596328,-0.13483399100706106,-0.15711833341206416,0.1117235070734047,-1.2299662513233833,-1.008619387538611,-0.8581684140796009,3.6929709141274234,6.070637119113573,3.7768924302788847,0.13591730270179964,0.698386453726823,-0.0011209241210952186,0.2196984241380214,-0.1333747255596328,0.3268739889252008,offensive_ablation,leadership_liquid,12,0.08,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap8_sector40,struct_h12_cap8_sector40,5.0,2023+,2023-01-03,2026-04-02,1.5032421626877919,0.3268739889252008,-0.26026576029417936,0.27839059662082244,1.1593801561390236,1.5743515444218392,1.2559239008455585,4.4631392405063295,12.020886075949367,11.101840490797546,0.8442807694708347,0.23957582000465985,1.0989619579494463,0.8320314963268826,-0.1333747255596328,0.3268739889252008,offensive_ablation,leadership_liquid,12,0.08,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector20,struct_h12_cap10_sector20,0.0,Full Sample,2018-01-02,2026-04-02,3.275743286108723,0.19266805398866227,-0.37346461580275936,0.2628454733779849,0.8041454194394152,0.9183921399964466,0.5158937308545918,4.092691733067729,9.579930278884461,8.852459016393443,0.6069379706161367,0.07359085128593407,0.7187414167242352,0.36030444099760556,-0.1363116799355234,0.3851081441270927,offensive_ablation,leadership_liquid,12,0.1,0.2,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector20,struct_h12_cap10_sector20,0.0,2022,2022-01-03,2022-12-30,-0.1363116799355234,-0.13780045886392178,-0.1594185226044591,0.11032933827497919,-1.27779882128972,-1.093618394513516,-0.8643942787365121,3.7266966759002766,6.070637119113573,3.7768924302788847,0.13437506865335835,0.6863079625562584,0.0,0.22489299763358273,-0.1363116799355234,0.3851081441270927,offensive_ablation,leadership_liquid,12,0.1,0.2,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector20,struct_h12_cap10_sector20,0.0,2023+,2023-01-03,2026-04-02,1.8775510474409662,0.3851081441270927,-0.2628865326703911,0.2838182491984887,1.294563584742716,1.797610128555818,1.4649215394002093,4.654240506329114,12.020886075949367,11.101840490797546,0.8476753306875251,0.42692096216352815,1.21861642524675,0.818958348412686,-0.1363116799355234,0.3851081441270927,offensive_ablation,leadership_liquid,12,0.1,0.2,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector20,struct_h12_cap10_sector20,5.0,Full Sample,2018-01-02,2026-04-02,3.2042225306963896,0.19023086607702933,-0.3735898601290182,0.2628465529689171,0.7963414218103982,0.9096895468205127,0.5091970804864288,4.092691733067729,9.579930278884461,8.852459016393443,0.6069499457129122,0.06499463190314457,0.7149909588447115,0.36375860611095784,-0.13789926514483908,0.38188511352032695,offensive_ablation,leadership_liquid,12,0.1,0.2,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector20,struct_h12_cap10_sector20,5.0,2022,2022-01-03,2022-12-30,-0.13789926514483908,-0.1394039483096864,-0.15941852260445877,0.11030295416307406,-1.2948674264367181,-1.0913059859279945,-0.8744526422162904,3.7266966759002766,6.070637119113573,3.7768924302788847,0.1342978795354648,0.6800164615892904,-0.0011209241210952186,0.2273124063517711,-0.13789926514483908,0.38188511352032695,offensive_ablation,leadership_liquid,12,0.1,0.2,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
