strategy,family,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,Average Stock Weight,Average BOXX Weight,Overlay Trigger Frequency,Average Days In Throttle,Average Days Trimmed,Days In Throttle Share,Days Trimmed Share,Degraded Signal Share,overlay_trigger_frequency,average_days_in_throttle,average_days_trimmed,days_in_throttle_share,days_trimmed_share,degraded_signal_share
cash_buffer_branch_default_monthly_baseline,monthly_baseline,10.0,2022,2022-01-03,2022-12-30,-0.12102455617753993,-0.12235842396176622,-0.1473480842578787,0.11664255147301852,-1.0517035926754035,-0.8910594668568658,-0.8304039009263448,2.0741343490304707,4.0470914127423825,1.8804780876494025,0.14082337734381128,0.7477585605105919,-0.002241851380885222,0.19707902861425486,-0.12102455617753993,0.5241170176641934,0.14082337734381128,-0.07423849446283629,0.2959074716745159,0.7477585605105919,-0.002241851380885222,0.19707902861425486,,,,,0.15617529880478087,0.8438247011952191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,10.0,2023+,2023-01-03,2026-04-02,2.924425092434444,0.5241170176641934,-0.19187476091895794,0.24618939330643555,1.8416519182523061,2.64517705000437,2.7315578930444344,3.028338607594937,11.404430379746836,7.401226993865031,0.7901518756562376,0.9491447136879954,1.230916756315601,0.04052462263523456,-0.12102455617753993,0.5241170176641934,0.7901518756562376,0.2408523608504183,0.19428581316584353,0.9491447136879954,1.230916756315601,0.04052462263523456,0.23915274969835165,0.24730915967418887,0.2781518097875204,1.0,0.6928746928746928,0.30712530712530717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,0.0,Full Sample,2018-01-02,2026-04-02,1.2372197926794044,0.1025731160156953,-0.31586363851445687,0.1412059434066132,0.7637098124808323,0.7922962415730113,0.32473860080289235,12.153778635458165,46.08067729083665,5.218900675024108,0.21177282920630977,-0.37406475405904693,0.34370354638811373,0.12559753096912685,-0.08519752265070979,0.26337152180621604,0.21177282920630977,0.06679585364802848,0.22983588084551132,-0.37406475405904693,0.34370354638811373,0.12559753096912685,0.025733130439692352,0.009080855443508505,0.16246074201042607,0.5504169825625473,0.3286058851905452,0.6713941148094549,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,0.0,OOS Sample,2022-01-03,2026-04-02,0.9531249346162227,0.17087119932866623,-0.12581178992971032,0.13600537430036821,1.231992502109256,1.4172892664507384,1.3581493389779298,12.624689516129035,46.8933870967742,5.433395872420262,0.22861090260552594,0.19545299910070527,0.5894370398375502,0.15812540038769882,-0.08519752265070979,0.26337152180621604,0.22861090260552594,0.13905681840271084,0.2194297672762084,0.19545299910070527,0.5894370398375502,0.15812540038769882,0.118245667066601,0.11705701888283034,0.16246074201042646,1.0,0.3427230046948357,0.6572769953051644,0.5126760563380282,11.142857142857142,0.0,0.5126760563380282,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,0.0,2022,2022-01-03,2022-12-30,-0.08519752265070979,-0.08615604282779388,-0.08275798164103698,0.03344726284676462,-2.655595246133043,-1.2744607604293277,-1.0410602230670147,3.3388504155124656,13.153047091412741,1.0199203187250996,0.024948957195034732,0.8110920959515007,0.0,0.1412107097081077,-0.08519752265070979,0.26337152180621604,0.024948957195034732,-0.08024142952424597,0.31453683813223643,0.8110920959515007,0.0,0.1412107097081077,,,,,0.039043824701195225,0.9609561752988047,0.2151394422310757,18.0,0.0,0.2151394422310757,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,0.0,2023+,2023-01-03,2026-04-02,1.1350236613651865,0.26337152180621604,-0.12581178992970943,0.1540928840107982,1.5997906033189935,2.0450878820447307,2.0933771147629385,15.49615506329114,57.33037974683545,6.792638036809816,0.3896797262792222,-0.12478099188864035,0.7199555234213652,0.18757431518531922,-0.08519752265070979,0.26337152180621604,0.3896797262792222,0.14169647003715477,0.1801032970349548,-0.12478099188864035,0.7199555234213652,0.18757431518531922,0.14175068232934562,0.14716435711315418,0.16246074201042673,1.0,0.4363636363636364,0.5636363636363636,0.6044226044226044,10.695652173913043,0.0,0.6044226044226044,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,5.0,Full Sample,2018-01-02,2026-04-02,1.1280189419109559,0.09590252640359997,-0.32787373408584264,0.14115776497310048,0.7208351476053187,0.7508369911176643,0.2924983505342064,12.153778635458165,46.08067729083665,5.218900675024108,0.21171554104755286,-0.4005838747057591,0.33273380140824055,0.1356818584296043,-0.0867124302916098,0.2536337683418639,0.21171554104755286,0.06071807067737738,0.22982050518200464,-0.4005838747057591,0.33273380140824055,0.1356818584296043,0.01901924917370667,0.002704756666703507,0.1545752620863086,0.514783927217589,0.3286058851905452,0.6713941148094549,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,5.0,OOS Sample,2022-01-03,2026-04-02,0.9015507081341021,0.16351082641541326,-0.1287409740665868,0.13598532472973165,1.1856065867005645,1.3650217890577951,1.2700760391236667,12.624689516129035,46.8933870967742,5.433395872420262,0.22848485096616056,0.16657969559582758,0.5781294197670245,0.16883889949989586,-0.0867124302916098,0.2536337683418639,0.22848485096616056,0.13274002849393285,0.219448722636451,0.16657969559582758,0.5781294197670245,0.16883889949989586,0.11098444232101416,0.10979176642103743,0.15457526208630892,1.0,0.3427230046948357,0.6572769953051644,0.5126760563380282,11.142857142857142,0.0,0.5126760563380282,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,5.0,2022,2022-01-03,2022-12-30,-0.0867124302916098,-0.08768716432944801,-0.08404750575288933,0.03364798833400178,-2.688985891788944,-1.2557999858780573,-1.0433047779818685,3.3388504155124656,13.153047091412741,1.0199203187250996,0.025055184377043398,0.8058596192596384,0.0,0.1437955981158833,-0.0867124302916098,0.2536337683418639,0.025055184377043398,-0.08186146737431438,0.3145234772060118,0.8058596192596384,0.0,0.1437955981158833,,,,,0.039043824701195225,0.9609561752988047,0.2151394422310757,18.0,0.0,0.2151394422310757,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,5.0,2023+,2023-01-03,2026-04-02,1.0820941521642098,0.2536337683418639,-0.12874097406658624,0.15406860185991403,1.5495939361399438,1.9820320105429368,1.9701091294422064,15.49615506329114,57.33037974683545,6.792638036809816,0.38945452022302934,-0.16791064869290748,0.7061440677843577,0.21243993617736606,-0.0867124302916098,0.2536337683418639,0.38945452022302934,0.13398447148563875,0.1801317841899935,-0.16791064869290748,0.7061440677843577,0.21243993617736606,0.13366244275664835,0.1390503827755835,0.15457526208630926,1.0,0.4363636363636364,0.5636363636363636,0.6044226044226044,10.695652173913043,0.0,0.6044226044226044,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,10.0,Full Sample,2018-01-02,2026-04-02,1.0241317242906463,0.0892712129720179,-0.33967492369773966,0.1411156016705968,0.6779023085137189,0.7067312436275585,0.2628136690227273,12.153778635458165,46.08067729083665,5.218900675024108,0.21165825288879575,-0.42709966251274145,0.3217713436304697,0.14575958101592815,-0.08822506165565314,0.24396946214198922,0.21165825288879575,0.05464028770672629,0.22980883217142808,-0.42709966251274145,0.3217713436304697,0.14575958101592815,0.012305367907720969,-0.004026216059229681,0.146689782162191,0.46019711902956784,0.3286058851905452,0.6713941148094549,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,10.0,OOS Sample,2022-01-03,2026-04-02,0.8513301105504232,0.156195509848011,-0.1316609148803577,0.13597185801224093,1.1391518382414778,1.3123511290500725,1.186346836416474,12.624689516129035,46.8933870967742,5.433395872420262,0.22835879932679523,0.13770882053274788,0.5668288966111433,0.17954555602763994,-0.08822506165565314,0.24396946214198922,0.22835879932679523,0.12642323858515483,0.21947175648094708,0.13770882053274788,0.5668288966111433,0.17954555602763994,0.10372321757542728,0.1026505820573096,0.1466897821621914,1.0,0.3427230046948357,0.6572769953051644,0.5126760563380282,11.142857142857142,0.0,0.5126760563380282,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,10.0,2022,2022-01-03,2022-12-30,-0.08822506165565314,-0.08921595535928994,-0.08538118085915092,0.03385469063819043,-2.721499971955254,-1.2724131825942648,-1.044913580036625,3.3388504155124656,13.153047091412741,1.0199203187250996,0.025161411559052053,0.8006247357264146,0.0,0.14637931056963427,-0.08822506165565314,0.24396946214198922,0.025161411559052053,-0.0834815052243828,0.3145108871209302,0.8006247357264146,0.0,0.14637931056963427,,,,,0.039043824701195225,0.9609561752988047,0.2151394422310757,18.0,0.0,0.2151394422310757,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__held_breadth_5state,daily_portfolio_throttle_overlay,10.0,2023+,2023-01-03,2026-04-02,1.0304683016536673,0.24396946214198922,-0.13166091488035792,0.15405120707920034,1.4993144090446449,1.918610049772458,1.8530135717474516,15.49615506329114,57.33037974683545,6.792638036809816,0.3892293141668364,-0.21101976977521736,0.6923412805250604,0.23728884883454013,-0.08822506165565314,0.24396946214198922,0.3892293141668364,0.1262724729341228,0.18016615912891687,-0.21101976977521736,0.6923412805250604,0.23728884883454013,0.12557420318395107,0.13093640843801282,0.14668978216219172,1.0,0.4363636363636364,0.5636363636363636,0.6044226044226044,10.695652173913043,0.0,0.6044226044226044,0.0,0.0,0.5016883743367101,11.685393258426966,0.0,0.5016883743367101,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,0.0,Full Sample,2018-01-02,2026-04-02,1.7617922854120796,0.131099998271472,-0.3292365686916914,0.17085393924993625,0.8080567756024044,0.9038455446183462,0.3981939150697401,11.458021040836654,48.26344621513944,5.2806171648987466,0.28222995226925657,-0.23984422070050299,0.4432538294263134,0.16591021878052098,-0.11061145454189325,0.3362668793967085,0.28222995226925657,0.08335960487243661,0.23245998336150306,-0.23984422070050299,0.4432538294263134,0.16591021878052098,0.04598145401490576,0.02265780659148421,0.20866795306714467,0.6974981046247157,0.4161601543656537,0.5838398456343463,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,0.0,OOS Sample,2022-01-03,2026-04-02,1.277894203179022,0.21409047219104704,-0.13039721858816233,0.16416276726234486,1.2679864068210058,1.5022408863938697,1.6418331196711777,12.11510685483871,49.72112903225807,5.448405253283302,0.28584200616086053,0.3720704515360782,0.6979415131348906,0.14642665644018682,-0.11061145454189325,0.3362668793967085,0.28584200616086053,0.1725204073415026,0.22438428467401825,0.3720704515360782,0.6979415131348906,0.14642665644018682,0.15778430011107572,0.15621278109565154,0.2086679530671451,1.0,0.41333333333333333,0.5866666666666667,0.40469483568075115,8.450980392156863,0.0,0.40469483568075115,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,0.0,2022,2022-01-03,2022-12-30,-0.11061145454189325,-0.11183798784179211,-0.10723730235597895,0.051528714749944166,-2.2573273339286577,-1.0168575781059466,-1.0429019136507274,5.767105263157895,20.235457063711912,1.0199203187250996,0.04187155237377074,0.7309098760779531,0.0,0.18393058081715732,-0.11061145454189325,0.3362668793967085,0.04187155237377074,-0.10191584376702127,0.3114249330448583,0.7309098760779531,0.0,0.18393058081715732,,,,,0.04860557768924303,0.9513944223107569,0.20717131474103587,17.333333333333332,0.0,0.20717131474103587,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,0.0,2023+,2023-01-03,2026-04-02,1.561191298012195,0.3362668793967085,-0.11857902372545626,0.18510304581974799,1.6644025508529814,2.201086741916657,2.8358040809583724,14.089865506329113,58.87151898734177,6.8122699386503065,0.4785662428342858,0.2061924217715589,0.8524860391281415,0.08113135222948628,-0.11061145454189325,0.3362668793967085,0.4785662428342858,0.17935653606501903,0.18961009998284448,0.2061924217715589,0.8524860391281415,0.08113135222948628,0.1792515636621189,0.1840981691937365,0.20866795306714553,1.0,0.5257985257985258,0.4742014742014742,0.4656019656019656,7.895833333333333,0.0,0.4656019656019656,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,5.0,Full Sample,2018-01-02,2026-04-02,1.6345761203039348,0.12465019810675959,-0.33703738428777563,0.17080524110100193,0.7746797566626024,0.8686527959402907,0.3698408660812784,11.458021040836654,48.26344621513944,5.2806171648987466,0.28212683622840484,-0.2645499507704816,0.43484304282308384,0.17907441306290792,-0.11314803607308,0.32690051926679065,0.28212683622840484,0.07763926955459219,0.23244950154307276,-0.2645499507704816,0.43484304282308384,0.17907441306290792,0.039995577228810426,0.017122951168250775,0.20145941614418,0.6679302501895376,0.4161601543656537,0.5838398456343463,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,5.0,OOS Sample,2022-01-03,2026-04-02,1.2201492422689504,0.2067666016795915,-0.13428241632319993,0.16414547878576682,1.2310985307962725,1.4595642346065933,1.5397891052387065,12.11510685483871,49.72112903225807,5.448405253283302,0.28580072556599784,0.3449918905532012,0.6887875125856062,0.15919380822164014,-0.11314803607308,0.32690051926679065,0.28580072556599784,0.16644865414353535,0.22438168725464305,0.3449918905532012,0.6887875125856062,0.15919380822164014,0.15145443712378262,0.15001163063369827,0.2014594161441805,1.0,0.41333333333333333,0.5866666666666667,0.40469483568075115,8.450980392156863,0.0,0.40469483568075115,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,5.0,2022,2022-01-03,2022-12-30,-0.11314803607308,-0.11440084978879395,-0.10947085665486211,0.051620743018797585,-2.3087333482498784,-1.0426681682348453,-1.0450347543134246,5.767105263157895,20.235457063711912,1.0199203187250996,0.04185296298372632,0.7216723762643916,0.0,0.1883474622073918,-0.11314803607308,0.32690051926679065,0.04185296298372632,-0.10478359199717907,0.31144631834347103,0.7216723762643916,0.0,0.1883474622073918,,,,,0.04860557768924303,0.9513944223107569,0.20717131474103587,17.333333333333332,0.0,0.20717131474103587,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,5.0,2023+,2023-01-03,2026-04-02,1.5034045506741407,0.32690051926679065,-0.12132277278912629,0.1850840597397995,1.6263895090008027,2.1514645371257415,2.6944695686685587,14.089865506329113,58.87151898734177,6.8122699386503065,0.4785674715664896,0.16893684173902457,0.8413050769363597,0.10843654114955549,-0.11314803607308,0.32690051926679065,0.4785674715664896,0.17228899695961264,0.1895913099188375,0.16893684173902457,0.8413050769363597,0.10843654114955549,0.17204685832170988,0.17682344112892823,0.20145941614418095,1.0,0.5257985257985258,0.4742014742014742,0.4656019656019656,7.895833333333333,0.0,0.4656019656019656,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,10.0,Full Sample,2018-01-02,2026-04-02,1.5132005096581183,0.11823612995918209,-0.34474873376285375,0.1707612791684014,0.7412631399390036,0.8321582674659442,0.3429632029932691,11.458021040836654,48.26344621513944,5.2806171648987466,0.2820237201875531,-0.2892535670934223,0.42643688090519916,0.19222813584834889,-0.11567785214283777,0.3175982761554743,0.2820237201875531,0.07191893423674772,0.23244250884062173,-0.2892535670934223,0.42643688090519916,0.19222813584834889,0.0340097004427151,0.011553200450873272,0.19425087922121545,0.6133434420015162,0.4161601543656537,0.5838398456343463,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,10.0,OOS Sample,2022-01-03,2026-04-02,1.1638587981961286,0.19948569334889177,-0.138150958153888,0.16413351769054746,1.1941641226186344,1.417331563084542,1.4439689453813433,12.11510685483871,49.72112903225807,5.448405253283302,0.2857594449711351,0.31790717957136616,0.6796389503181391,0.17195197632106457,-0.11567785214283777,0.3175982761554743,0.2857594449711351,0.16037690094556817,0.22438298802470927,0.31790717957136616,0.6796389503181391,0.17195197632106457,0.14512457413648955,0.14395071841912088,0.19425087922121592,1.0,0.41333333333333333,0.5866666666666667,0.40469483568075115,8.450980392156863,0.0,0.40469483568075115,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
daily_portfolio_throttle_overlay__qqq_dma_mom_6state,daily_portfolio_throttle_overlay,10.0,2022,2022-01-03,2022-12-30,-0.11567785214283777,-0.11695679022809213,-0.11174367077691161,0.05172221959721984,-2.3595252949501853,-1.0764767592537254,-1.0466524807618693,5.767105263157895,20.235457063711912,1.0199203187250996,0.04183437359368188,0.712432497642443,0.0,0.19276091001931306,-0.11567785214283777,0.3175982761554743,0.04183437359368188,-0.10765134022733688,0.31146929820068886,0.712432497642443,0.0,0.19276091001931306,,,,,0.04860557768924303,0.9513944223107569,0.20717131474103587,17.333333333333332,0.0,0.20717131474103587,0.0,0.0,0.3738543174143753,8.516483516483516,0.0,0.3738543174143753,0.0,0.0
