comparison_layer,strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,research_group,group_normalization,data_assumption,starting_equity,income_layer,universe_filter,holdings_count,single_name_cap,sector_cap,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,hold_bonus,residual_proxy,selected_candidate_name
full_strategy,hybrid_growth_income,hybrid_growth_income::full,0.0,2022,2022-01-03,2022-12-30,-0.07714618234015447,-0.078018030323171,-0.10041398769772836,0.04895970220874346,-1.6215032323407426,-1.2910187481671318,-0.7769637688130175,0.21792756613284026,2.0235457063711912,2.0677290836653386,0.07235560384879546,0.8796408652525941,0.11843108305064688,0.17532519603195057,-0.07714618234015447,0.17002155809370523,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,hybrid_growth_income,hybrid_growth_income::full,0.0,2023+,2023-01-03,2026-04-02,0.6643512221841168,0.17002155809370523,-0.17906470769826544,0.16110112678038196,1.0587081580813908,1.4207671609703172,0.9494978674424307,0.4692746625858897,5.548101265822785,2.9300613496932515,0.7678422320943722,-1.4134983508243641,0.7584582334758003,1.0591482687613385,-0.07714618234015447,0.17002155809370523,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,hybrid_growth_income,hybrid_growth_income::full,5.0,Full Sample,2018-01-02,2026-04-02,1.467213602149469,0.11573466939264021,-0.18970916385322145,0.13487598540835777,0.8813419059525092,0.9830834664487714,0.6100636734774946,0.5542480511406154,4.850597609561753,2.7005785920925747,0.41028637361705,-0.4444844398744196,0.5692267512221426,0.5086299560421602,-0.077245974122514,0.1697470396665237,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,hybrid_growth_income,hybrid_growth_income::full,5.0,2018-2021,2018-01-02,2021-12-31,0.607705331064937,0.126217522222835,-0.18970916385322145,0.1257002835610474,1.0076882020922933,0.9908187994581732,0.6653211666701029,0.7091383163106915,5.006854009595614,2.6726190476190474,0.36473295155705165,-0.7851845983442295,0.5039009060877425,0.5247406073093904,-0.077245974122514,0.1697470396665237,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,hybrid_growth_income,hybrid_growth_income::full,5.0,2022,2022-01-03,2022-12-30,-0.077245974122514,-0.0781189014891005,-0.1005112634415517,0.048968050794909276,-1.6234348530899256,-1.294632970066841,-0.7772153967055385,0.21792756613284026,2.0235457063711912,2.0677290836653386,0.07236222498745198,0.8792840003233795,0.11843108305064688,0.17548716360644004,-0.077245974122514,0.1697470396665237,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,hybrid_growth_income,hybrid_growth_income::full,5.0,2023+,2023-01-03,2026-04-02,0.6630846311990137,0.1697470396665237,-0.1792585769614906,0.1611020577804547,1.0572409831295788,1.4187540730300403,0.9469395693294484,0.4692746625858897,5.548101265822785,2.9300613496932515,0.7678449985466181,-1.4168664998261595,0.758198029392283,1.0603699117220595,-0.077245974122514,0.1697470396665237,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,semiconductor_rotation_income,semiconductor_rotation_income::full,0.0,Full Sample,2018-01-02,2026-04-02,4.008978291500845,0.21578012312708705,-0.3314676414952916,0.3050116966747206,0.7949993842571411,1.0885441933082727,0.6509839758525935,3.214211837191914,8.124750996015935,3.0,0.9372452877176222,0.234315397971205,1.1214216745980856,1.0001619863820874,-0.24942398042212977,0.34350275168252464,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,semiconductor_rotation_income,semiconductor_rotation_income::full,0.0,2018-2021,2018-01-02,2021-12-31,1.560373263595518,0.2653647928362546,-0.31393961881149346,0.30363621832738447,0.9267768893937981,1.253785410462542,0.8452733485530354,4.778355508347124,12.266792323509252,3.0,0.9161532517377393,0.07007205462882951,1.0205893395134287,0.975759900700051,-0.24942398042212977,0.34350275168252464,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,semiconductor_rotation_income,semiconductor_rotation_income::full,0.0,2022,2022-01-03,2022-12-30,-0.24942398042212977,-0.2519549993676139,-0.3182736369725696,0.21198290691368418,-1.2516048340176338,-1.7845571273852583,-0.7916301260896724,1.2586758170100976,3.0353185595567864,3.0,0.5647190309214632,0.4422048051228455,0.6104231927534719,0.6842507714884378,-0.24942398042212977,0.34350275168252464,etf_full,,,200000.0,on,,,,,,,,,,,,
full_strategy,semiconductor_rotation_income,semiconductor_rotation_income::full,0.0,2023+,2023-01-03,2026-04-02,1.6064607005723643,0.34350275168252464,-0.3314676414952916,0.3294096032652082,1.0647523672906398,1.464045198277777,1.036308552270566,1.903125229538352,4.6234177215189876,3.0,1.2764139205031142,0.3757518820805649,1.372180241175516,1.5929919339755725,-0.24942398042212977,0.34350275168252464,etf_full,,,200000.0,on,,,,,,,,,,,,
