family,universe,normalization,normalization_label,min_adv20_usd,leadership_filter,sector_whitelist,symbol_whitelist,score_template,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,breadth_symbols,soft_defense_exposure,hard_defense_exposure,notes,strategy,full_cagr,full_information_ratio_vs_qqq,full_alpha_ann_vs_qqq,oos_cagr,oos_cagr_minus_qqq,oos_alpha_ann_vs_qqq,oos_max_drawdown,oos_rolling_alpha_positive_ratio,return_2022,cagr_2023_plus,annual_turnover,average_names_held,score_oos_cagr_minus_qqq,score_oos_alpha_ratio,score_oos_maxdd,score_2022,score_2023_plus,score_full_ir,score_turnover,score_names_held,complexity_adjustment,robustness_score,full_cagr_rank,robustness_rank,core_viable
broad_growth_leadership_pullback,leadership_growth,sector,sector,50000000.0,True,[],[],pullback_tilt,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,broad_leadership_growth_pullback_tilt_focused_qqq_breadth,0.1991604895127954,0.12017852433969399,0.08195031274623203,0.23906109036136636,0.1371127719463725,0.1646050047478082,-0.3351414447752953,1.0,-0.12757064097956794,0.38049687753633843,4.610088811420982,10.322082931533268,0.8333333333333334,0.625,0.2708333333333333,0.625,0.7916666666666666,0.8958333333333334,0.20833333333333334,0.4479166666666667,0.03,0.6680208333333333,9.0,11.0,True
broad_growth_leadership_pullback,leadership_growth,sector,sector,50000000.0,True,[],[],balanced_pullback,24,0.06,0.2,0.15,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,broad_leadership_growth_balanced_pullback_diversified_qqq_breadth,0.20144995883525918,0.10346158651134321,0.08166795797821387,0.20030465186719204,0.09835633345219819,0.12802529557247666,-0.2773055386809604,1.0,-0.1166435718131208,0.31921930829213596,3.389355079681274,20.644165863066537,0.4791666666666667,0.625,0.625,0.8125,0.4166666666666667,0.8541666666666666,0.75,0.9479166666666666,0.03,0.6617708333333333,6.0,12.0,True
trend_only_control,leadership_growth,sector,sector,50000000.0,True,[],[],trend_only,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,trend_only_control_balanced_qqq_breadth,0.20336947430231045,0.13541559042222076,0.08024131438037635,0.20983243234248916,0.1078841139274953,0.13735963440226437,-0.2973954889316184,1.0,-0.1200925149292531,0.3345413894804954,3.592473854581673,13.76277724204436,0.5833333333333334,0.625,0.53125,0.7708333333333334,0.5625,0.9375,0.6875,0.6979166666666666,0.01,0.6568750000000001,5.0,13.0,True
broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,spy_breadth,SPY,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,broad_large_cap_eligible_balanced_pullback_focused_spy_breadth,0.18233403844951313,0.027655642991612744,0.09605348445134794,0.24380867764984093,0.14186035923484708,0.1727309242605434,-0.33728283918927193,1.0,-0.15647128165503987,0.4019010536655201,4.38776975431607,9.112825458052074,0.8541666666666666,0.625,0.20833333333333334,0.4166666666666667,0.9375,0.7083333333333334,0.2708333333333333,0.2916666666666667,0.03,0.6341666666666665,14.0,14.0,True
broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,16,0.08,0.3,0.1,spy_breadth,SPY,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,broad_large_cap_eligible_balanced_pullback_balanced_spy_breadth,0.16790097490400568,-0.043815966985740896,0.08356538731490992,0.2258340137205035,0.12388569530550964,0.1553548689585938,-0.2982238155399347,1.0,-0.15745823450098462,0.37595713541672393,4.230630602589642,12.15043394406943,0.75,0.625,0.4895833333333333,0.3958333333333333,0.75,0.5625,0.3958333333333333,0.5416666666666666,0.03,0.6336458333333334,25.0,15.0,True
tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,24,0.06,0.2,0.15,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,tech_heavy_pullback_balanced_diversified_qqq_breadth,0.13418493982365765,-0.2914043789979903,0.0634464196717433,0.20876936345995256,0.1068210450449587,0.15892671075761744,-0.1372973169151962,1.0,-0.07436506531284615,0.31235346532183517,1.9435738296812748,6.970106075216972,0.5625,0.625,1.0,0.9583333333333334,0.375,0.2916666666666667,0.875,0.19791666666666666,0.0,0.6317708333333333,35.0,16.0,True
broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],pullback_tilt,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,broad_large_cap_eligible_pullback_tilt_balanced_qqq_breadth,0.15847966531990187,-0.07735775681957155,0.06312605063899066,0.22661967339803213,0.12467135498303827,0.15857090181357597,-0.30722102735415946,1.0,-0.1650940029540766,0.38098054464082276,4.142713520916335,12.459016393442623,0.7708333333333334,0.625,0.4583333333333333,0.3333333333333333,0.8333333333333334,0.4583333333333333,0.4375,0.6041666666666666,0.03,0.6310416666666667,27.0,17.0,True
broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,24,0.06,0.2,0.15,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,broad_large_cap_eligible_balanced_pullback_diversified_qqq_breadth,0.1692807566389205,-0.06066194573606427,0.07185957856530081,0.20226603701887136,0.1003177186038775,0.13657090884944442,-0.28365595937584853,1.0,-0.12070409546335337,0.3239184684517382,3.562157619521912,18.688524590163933,0.5208333333333334,0.625,0.5729166666666666,0.75,0.4375,0.5,0.7083333333333334,0.8541666666666666,0.03,0.6180208333333335,23.0,18.0,True
trend_only_control,leadership_growth,sector,sector,50000000.0,True,[],[],trend_only,24,0.06,0.2,0.15,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,trend_only_control_diversified_qqq_breadth,0.19132325453867094,0.05885997079110989,0.07312197901678325,0.19053968021949075,0.0885913618044969,0.12023289774526466,-0.2659779014678534,1.0,-0.12139458836697004,0.3073701351970428,3.3661126328021242,20.644165863066537,0.375,0.625,0.75,0.7291666666666666,0.3333333333333333,0.7916666666666666,0.7708333333333334,0.9479166666666666,0.01,0.6126041666666666,11.0,19.0,True
broad_growth_leadership_pullback,leadership_growth,sector,sector,50000000.0,True,[],[],balanced_pullback,12,0.1,0.4,0.05,spy_breadth,SPY,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,broad_leadership_growth_balanced_pullback_focused_spy_breadth,0.1785796865234448,0.03591326059082766,0.07037916909464764,0.22317902520600952,0.12123070679101566,0.150189339896341,-0.33522426963356067,1.0,-0.15381008595004453,0.37023437955628835,4.345327025232404,10.322082931533268,0.7291666666666666,0.625,0.25,0.5,0.6666666666666666,0.7291666666666666,0.3333333333333333,0.4479166666666667,0.03,0.6034375000000001,17.0,20.0,True
broad_growth_leadership_pullback,leadership_growth,sector,sector,50000000.0,True,[],[],pullback_tilt,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,broad_leadership_growth_pullback_tilt_balanced_qqq_breadth,0.18469314446862173,0.047737691891190065,0.07050317749800976,0.2067671046000885,0.10481878618509466,0.13607545665833892,-0.3243983575127519,1.0,-0.11782069111131832,0.3290635792682277,4.348863919322708,13.76277724204436,0.5416666666666666,0.625,0.3541666666666667,0.7916666666666666,0.5,0.7708333333333334,0.3125,0.6979166666666666,0.03,0.6003125,13.0,21.0,True
tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,16,0.08,0.3,0.1,spy_breadth,SPY,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,tech_heavy_pullback_balanced_balanced_spy_breadth,0.14379653369674883,-0.21447687683552183,0.06085902239254085,0.21640124940408412,0.11445293098909026,0.1578375312256356,-0.21524528254123665,1.0,-0.1819541894269152,0.3745683205381607,2.783939865537848,7.62198649951784,0.6666666666666666,0.625,0.8333333333333334,0.25,0.7291666666666666,0.3125,0.8125,0.23958333333333334,0.0,0.5984375,33.0,22.0,True
